Question,Designed_Answer_2,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
can i delete my old calendar history?,You can tell Alexa to delete your calendar events.,100.0,75.0,100.0,30.0,100,2.058175093067536,0.4137931034482758,0.9053646922111512,96.18,4,1.0,9
do i have choice or control options for my contacts' information?,You can decide not to import or delete previously imported contacts by disabling contact import in your Alexa App. You can also add or delete contacts manually.,95.0,,,100.0,95,0.7903088084045999,0.3555555555555555,0.8924840092658997,57.77,9,0.7777777777777778,27
can i hide my email address?,"We collect and store your email address to provide our services. However, you can manage your email address in your account settings.",60.0,47.0,85.0,,98,1.6801599183119318,0.4,0.8365389108657837,68.77,7,0.8181818181818182,22
i want to change my name.,You can manage your personal information under your profile in your Amazon settings.,60.0,,100.0,60.0,95,1.1975201064855634,0.163265306122449,0.8658208250999451,41.36,10,0.8461538461538461,13
i want to edit my phone number.,You can update any information in your account under your Amazon account settings.,80.0,60.0,92.0,80.0,96,1.6686909589628511,0.3902439024390244,0.8821545839309692,49.82,9,0.8461538461538461,13
can you delete information about my time zone?,You can change your device's location at any time by selecting your device's location on your Alexa App.,85.0,25.0,100.0,40.0,94,0.0657292122558122,0.2340425531914893,0.8668014407157898,70.13,11,0.7777777777777778,18
can you delete my voice recordings?,"You can delete your voice recordings in your Alexa Privacy Settings in the Alexa App. Alternatively, you can enable deletion of your recordings by voice. If enabled, you can ask Alexa to delete a recording by saying ""Alexa, delete what I just said"". If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests.",95.0,40.0,100.0,95.0,90,1.1916066870936348,0.3247422680412371,0.8837308883666992,72.16,7,0.65625,64
are you sharing my age with others?,We only share your personal information with skill developers if you grant us permission. You can see and manage your granted permissions in the Alexa Privacy Settings in the Alexa App.,90.0,60.0,90.0,75.0,90,7.626264910496407,0.5185185185185185,0.9029121994972228,55.74,9,0.8709677419354839,31
who can access information about my appointments?,"If you have linked your calendar to Alexa, content of your calendar might be available to everyone using your device. But we will no longer share calendars across adults in your Amazon Household. If others want to access your calendar, they need to ask Alexa to switch accounts.",,100.0,,,90,19.60919493914578,0.6190476190476191,0.9270893931388856,72.16,9,0.7916666666666666,48
does the company share user's contacts' information with a third party?,Information about our customers is an important part of our business and we are not in the business of selling our customers’ personal information to others.,85.0,75.0,70.0,85.0,92,14.574074922416914,0.5360824742268041,0.9231886863708496,45.09,12,0.8461538461538461,26
does it save my email contacts and sell it to 3rd parties?,"We do not sell any personal information to others or share your personal information with skill developers. However, you might grant us permission to share information with certain skill providers. You can manage these granted permissions at any time in your Alexa Privacy Settings in the Alexa App.",100.0,50.0,70.0,,85,14.25484460273831,0.56,0.8970641493797302,55.24,9,0.7708333333333334,48
do you share my location with other people?,"We may share your location with apps and websites that use your location for example to provide directions, weather information, or information on local attractions or restaurants. Please carefully review the privacy policies to understand how it works and how each app or website provider will use your location information.",90.0,60.0,90.0,70.0,88,17.029649986060054,0.5,0.9105820655822754,37.64,14,0.8,50
are you sharing my name?,"By default, I do not share your personal data with skill developers. If you would like to grant this permission, check out Alexa privacy in Amazon setting.",75.0,85.0,90.0,70.0,90,0.3850227733006978,0.2456140350877192,0.8718642592430115,66.23,7,1.0,27
who has access to my phone number?,"To enable Alexa calling, we keep your phone number.",60.0,40.0,20.0,50.0,100,0.5542598941970845,0.2352941176470588,0.876501202583313,87.72,3,1.0,9
